"","experiment","trial","agent","phase","slide","distribution","target1","target2","target3","item_l","item_m","item_r","correctItem","pick","pickPos","pickCat","correct_item","workerIp","correct_target1","correct_target2","correct_target3","lastInputCat","same_lastInput","workerid"
"1","distribution_adults_mumble",1,"Bear","training","1","c(6, 0, 0)","fruits","mammals","vehicles","airplane","bear","apple","apple","bear","item_m","mammals",0,"108.176.65.67",NA,NA,NA,NA,NA,"61448b1fdbf79335fe7107dbb931e644"
"2","distribution_adults_mumble",1,"Bear","training","2","c(6, 0, 0)","fruits","mammals","vehicles","bus","elephant","banana","banana","elephant","item_m","mammals",0,"108.176.65.67",NA,NA,NA,NA,NA,"61448b1fdbf79335fe7107dbb931e644"
"3","distribution_adults_mumble",1,"Bear","training","3","c(6, 0, 0)","fruits","mammals","vehicles","pineapple","car","monkey","pineapple","monkey","item_r","mammals",0,"108.176.65.67",NA,NA,NA,NA,NA,"61448b1fdbf79335fe7107dbb931e644"
"4","distribution_adults_mumble",1,"Bear","training","4","c(6, 0, 0)","fruits","mammals","vehicles","cow","motorbike","orange","orange","cow","item_l","mammals",0,"108.176.65.67",NA,NA,NA,NA,NA,"61448b1fdbf79335fe7107dbb931e644"
"5","distribution_adults_mumble",1,"Bear","training","5","c(6, 0, 0)","fruits","mammals","vehicles","cherry","truck","dog","cherry","cherry","item_l","fruits",1,"108.176.65.67",NA,NA,NA,NA,NA,"61448b1fdbf79335fe7107dbb931e644"
"6","distribution_adults_mumble",1,"Bear","training","6","c(6, 0, 0)","fruits","mammals","vehicles","horse","melon","train","melon","train","item_r","vehicles",0,"108.176.65.67",NA,NA,NA,NA,NA,"61448b1fdbf79335fe7107dbb931e644"
"7","distribution_adults_mumble",1,"Bear","test","choice","c(6, 0, 0)","fruits","mammals","vehicles","cat","boat","strawberry",NA,"cat","item_l","mammals",NA,"108.176.65.67",0,1,0,"vehicles",0,"61448b1fdbf79335fe7107dbb931e644"
"8","distribution_adults_mumble",2,"Pig","training","1","c(6, 0, 0)","mammals","vehicles","furniture","cat","lamp","truck","cat","lamp","item_m","furniture",0,"108.176.65.67",NA,NA,NA,NA,NA,"61448b1fdbf79335fe7107dbb931e644"
"9","distribution_adults_mumble",2,"Pig","training","2","c(6, 0, 0)","mammals","vehicles","furniture","elephant","closet","motorbike","elephant","closet","item_m","furniture",0,"108.176.65.67",NA,NA,NA,NA,NA,"61448b1fdbf79335fe7107dbb931e644"
"10","distribution_adults_mumble",2,"Pig","training","3","c(6, 0, 0)","mammals","vehicles","furniture","car","drawer","cow","cow","drawer","item_m","furniture",0,"108.176.65.67",NA,NA,NA,NA,NA,"61448b1fdbf79335fe7107dbb931e644"
