"","subid","subage","experiment","trial","agent","phase","slide","distribution","target1","target2","target3","item_l","item_m","item_r","correctItem","pick","pickPos","pickCat","correct_item","correct_target1","correct_target2","correct_target3","lastInputCat","same_lastInput"
"1","test","test","distribution_kids",1,"Mouse","training","1","c(6, 0, 0)","clothes","vehicles","instruments","skirt","drum","train","skirt","skirt","item_l","clothes",1,NA,NA,NA,NA,NA
"2","test","test","distribution_kids",1,"Mouse","training","2","c(6, 0, 0)","clothes","vehicles","instruments","violin","jacket","bus","jacket","jacket","item_m","clothes",1,NA,NA,NA,NA,NA
"3","test","test","distribution_kids",1,"Mouse","training","3","c(6, 0, 0)","clothes","vehicles","instruments","guitar","shoe","car","shoe","shoe","item_m","clothes",1,NA,NA,NA,NA,NA
"4","test","test","distribution_kids",1,"Mouse","training","4","c(6, 0, 0)","clothes","vehicles","instruments","truck","dress","trumpet","dress","dress","item_m","clothes",1,NA,NA,NA,NA,NA
"5","test","test","distribution_kids",1,"Mouse","training","5","c(6, 0, 0)","clothes","vehicles","instruments","flute","shirt","motorbike","shirt","shirt","item_m","clothes",1,NA,NA,NA,NA,NA
"6","test","test","distribution_kids",1,"Mouse","training","6","c(6, 0, 0)","clothes","vehicles","instruments","piano","airplane","sock","sock","sock","item_r","clothes",1,NA,NA,NA,NA,NA
"7","test","test","distribution_kids",1,"Mouse","test","choice","c(6, 0, 0)","clothes","vehicles","instruments","hat","xylophone","boat",NA,"xylophone","item_m","instruments",NA,0,0,1,"clothes",0
"8","test","test","distribution_kids",2,"Tiger","training","1","c(6, 0, 0)","vehicles","instruments","fruits","airplane","violin","melon","airplane","airplane","item_l","vehicles",1,NA,NA,NA,NA,NA
"9","test","test","distribution_kids",2,"Tiger","training","2","c(6, 0, 0)","vehicles","instruments","fruits","xylophone","truck","strawberry","truck","truck","item_m","vehicles",1,NA,NA,NA,NA,NA
"10","test","test","distribution_kids",2,"Tiger","training","3","c(6, 0, 0)","vehicles","instruments","fruits","piano","apple","train","train","train","item_r","vehicles",1,NA,NA,NA,NA,NA
"11","test","test","distribution_kids",2,"Tiger","training","4","c(6, 0, 0)","vehicles","instruments","fruits","motorbike","banana","trumpet","motorbike","motorbike","item_l","vehicles",1,NA,NA,NA,NA,NA
"12","test","test","distribution_kids",2,"Tiger","training","5","c(6, 0, 0)","vehicles","instruments","fruits","orange","boat","guitar","boat","boat","item_m","vehicles",1,NA,NA,NA,NA,NA
"13","test","test","distribution_kids",2,"Tiger","training","6","c(6, 0, 0)","vehicles","instruments","fruits","bus","flute","cherry","bus","bus","item_l","vehicles",1,NA,NA,NA,NA,NA
"14","test","test","distribution_kids",2,"Tiger","test","choice","c(6, 0, 0)","vehicles","instruments","fruits","drum","pineapple","car",NA,"car","item_r","vehicles",NA,1,0,0,"vehicles",1
"15","test","test","distribution_kids",3,"Frog","training","1","c(6, 0, 0)","instruments","fruits","furniture","banana","piano","table","piano","piano","item_m","instruments",1,NA,NA,NA,NA,NA
"16","test","test","distribution_kids",3,"Frog","training","2","c(6, 0, 0)","instruments","fruits","furniture","orange","trumpet","drawer","trumpet","trumpet","item_m","instruments",1,NA,NA,NA,NA,NA
"17","test","test","distribution_kids",3,"Frog","training","3","c(6, 0, 0)","instruments","fruits","furniture","strawberry","flute","chair","flute","flute","item_m","instruments",1,NA,NA,NA,NA,NA
"18","test","test","distribution_kids",3,"Frog","training","4","c(6, 0, 0)","instruments","fruits","furniture","xylophone","pineapple","closet","xylophone","xylophone","item_l","instruments",1,NA,NA,NA,NA,NA
"19","test","test","distribution_kids",3,"Frog","training","5","c(6, 0, 0)","instruments","fruits","furniture","cherry","violin","sofa","violin","violin","item_m","instruments",1,NA,NA,NA,NA,NA
"20","test","test","distribution_kids",3,"Frog","training","6","c(6, 0, 0)","instruments","fruits","furniture","apple","bed","guitar","guitar","guitar","item_r","instruments",1,NA,NA,NA,NA,NA
"21","test","test","distribution_kids",3,"Frog","test","choice","c(6, 0, 0)","instruments","fruits","furniture","melon","drum","lamp",NA,"drum","item_m","instruments",NA,1,0,0,"instruments",1
"22","test","test","distribution_kids",4,"Bunny","training","1","c(6, 0, 0)","fruits","furniture","mammals","orange","dog","chair","orange","orange","item_l","fruits",1,NA,NA,NA,NA,NA
"23","test","test","distribution_kids",4,"Bunny","training","2","c(6, 0, 0)","fruits","furniture","mammals","lamp","banana","bear","banana","banana","item_m","fruits",1,NA,NA,NA,NA,NA
"24","test","test","distribution_kids",4,"Bunny","training","3","c(6, 0, 0)","fruits","furniture","mammals","stool","horse","melon","melon","melon","item_r","fruits",1,NA,NA,NA,NA,NA
"25","test","test","distribution_kids",4,"Bunny","training","4","c(6, 0, 0)","fruits","furniture","mammals","monkey","strawberry","sofa","strawberry","strawberry","item_m","fruits",1,NA,NA,NA,NA,NA
"26","test","test","distribution_kids",4,"Bunny","training","5","c(6, 0, 0)","fruits","furniture","mammals","elephant","cherry","table","cherry","cherry","item_m","fruits",1,NA,NA,NA,NA,NA
"27","test","test","distribution_kids",4,"Bunny","training","6","c(6, 0, 0)","fruits","furniture","mammals","drawer","cat","pineapple","pineapple","pineapple","item_r","fruits",1,NA,NA,NA,NA,NA
"28","test","test","distribution_kids",4,"Bunny","test","choice","c(6, 0, 0)","fruits","furniture","mammals","bed","cow","apple",NA,"apple","item_r","fruits",NA,1,0,0,"fruits",1
"29","test","test","distribution_kids_simple",1,"Beaver","training","1","c(6, 0, 0)","vehicles","clothes","furniture","jacket","sofa","airplane","airplane","airplane","item_r","vehicles",1,NA,NA,NA,NA,NA
