"","experiment","trial","agent","phase","slide","distribution","target1","target2","target3","item_l","item_m","item_r","correctItem","pick","pickPos","pickCat","correct_item","correct_target1","correct_target2","correct_target3","lastInputCat","same_lastInput","workerid"
"1","distribution",1,"Sheep","training","1","c(6, 0, 0)","vehicles","instruments","clothes","bus","guitar","dress","bus","bus","item_l","vehicles",1,NA,NA,NA,NA,NA,"8603ccb44d04ad3ce673391dbc4d3a0a"
"2","distribution",1,"Sheep","training","2","c(6, 0, 0)","vehicles","instruments","clothes","socks","drum","car","car","car","item_r","vehicles",1,NA,NA,NA,NA,NA,"8603ccb44d04ad3ce673391dbc4d3a0a"
"3","distribution",1,"Sheep","training","3","c(6, 0, 0)","vehicles","instruments","clothes","motorbike","trumpet","shirt","motorbike","motorbike","item_l","vehicles",1,NA,NA,NA,NA,NA,"8603ccb44d04ad3ce673391dbc4d3a0a"
"4","distribution",1,"Sheep","training","4","c(6, 0, 0)","vehicles","instruments","clothes","airplane","shoes","violin","airplane","airplane","item_l","vehicles",1,NA,NA,NA,NA,NA,"8603ccb44d04ad3ce673391dbc4d3a0a"
"5","distribution",1,"Sheep","training","5","c(6, 0, 0)","vehicles","instruments","clothes","xylophone","skirt","train","train","train","item_r","vehicles",1,NA,NA,NA,NA,NA,"8603ccb44d04ad3ce673391dbc4d3a0a"
"6","distribution",1,"Sheep","training","6","c(6, 0, 0)","vehicles","instruments","clothes","truck","flute","jacket","truck","truck","item_l","vehicles",1,NA,NA,NA,NA,NA,"8603ccb44d04ad3ce673391dbc4d3a0a"
"7","distribution",1,"Sheep","test","choice","c(6, 0, 0)","vehicles","instruments","clothes","boat","piano","pants",NA,"boat","item_l","vehicles",NA,1,0,0,"vehicles",1,"8603ccb44d04ad3ce673391dbc4d3a0a"
"8","distribution",2,"Bear","training","1","c(4, 2, 0)","instruments","clothes","furniture","stool","dress","drum","dress","dress","item_m","clothes",1,NA,NA,NA,NA,NA,"8603ccb44d04ad3ce673391dbc4d3a0a"
"9","distribution",2,"Bear","training","2","c(4, 2, 0)","instruments","clothes","furniture","flute","closet","shoes","flute","flute","item_l","instruments",1,NA,NA,NA,NA,NA,"8603ccb44d04ad3ce673391dbc4d3a0a"
"10","distribution",2,"Bear","training","3","c(4, 2, 0)","instruments","clothes","furniture","drawer","jacket","xylophone","jacket","jacket","item_m","clothes",1,NA,NA,NA,NA,NA,"8603ccb44d04ad3ce673391dbc4d3a0a"
"11","distribution",2,"Bear","training","4","c(4, 2, 0)","instruments","clothes","furniture","piano","chair","shirt","piano","piano","item_l","instruments",1,NA,NA,NA,NA,NA,"8603ccb44d04ad3ce673391dbc4d3a0a"
"12","distribution",2,"Bear","training","5","c(4, 2, 0)","instruments","clothes","furniture","guitar","lamp","socks","guitar","guitar","item_l","instruments",1,NA,NA,NA,NA,NA,"8603ccb44d04ad3ce673391dbc4d3a0a"
"13","distribution",2,"Bear","training","6","c(4, 2, 0)","instruments","clothes","furniture","skirt","bed","violin","violin","violin","item_r","instruments",1,NA,NA,NA,NA,NA,"8603ccb44d04ad3ce673391dbc4d3a0a"
"14","distribution",2,"Bear","test","choice","c(4, 2, 0)","instruments","clothes","furniture","trumpet","pants","sofa",NA,"sofa","item_r","furniture",NA,0,0,1,"instruments",0,"8603ccb44d04ad3ce673391dbc4d3a0a"
"15","distribution",3,"Frog","training","1","c(4, 2, 0)","clothes","furniture","fruits","orange","shirt","lamp","shirt","shirt","item_m","clothes",1,NA,NA,NA,NA,NA,"8603ccb44d04ad3ce673391dbc4d3a0a"
"16","distribution",3,"Frog","training","2","c(4, 2, 0)","clothes","furniture","fruits","pants","stool","banana","stool","stool","item_m","furniture",1,NA,NA,NA,NA,NA,"8603ccb44d04ad3ce673391dbc4d3a0a"
"17","distribution",3,"Frog","training","3","c(4, 2, 0)","clothes","furniture","fruits","melon","shoes","closet","shoes","shoes","item_m","clothes",1,NA,NA,NA,NA,NA,"8603ccb44d04ad3ce673391dbc4d3a0a"
"18","distribution",3,"Frog","training","4","c(4, 2, 0)","clothes","furniture","fruits","pineapple","bed","jacket","bed","bed","item_m","furniture",1,NA,NA,NA,NA,NA,"8603ccb44d04ad3ce673391dbc4d3a0a"
"19","distribution",3,"Frog","training","5","c(4, 2, 0)","clothes","furniture","fruits","skirt","strawberry","chair","skirt","skirt","item_l","clothes",1,NA,NA,NA,NA,NA,"8603ccb44d04ad3ce673391dbc4d3a0a"
"20","distribution",3,"Frog","training","6","c(4, 2, 0)","clothes","furniture","fruits","sofa","socks","apple","socks","socks","item_m","clothes",1,NA,NA,NA,NA,NA,"8603ccb44d04ad3ce673391dbc4d3a0a"
"21","distribution",3,"Frog","test","choice","c(4, 2, 0)","clothes","furniture","fruits","table","dress","grapes",NA,"dress","item_m","clothes",NA,1,0,0,"clothes",1,"8603ccb44d04ad3ce673391dbc4d3a0a"
"22","distribution",4,"Bunny","training","1","c(6, 0, 0)","furniture","fruits","mammals","cow","pineapple","table","table","table","item_r","furniture",1,NA,NA,NA,NA,NA,"8603ccb44d04ad3ce673391dbc4d3a0a"
"23","distribution",4,"Bunny","training","2","c(6, 0, 0)","furniture","fruits","mammals","lamp","bear","apple","lamp","lamp","item_l","furniture",1,NA,NA,NA,NA,NA,"8603ccb44d04ad3ce673391dbc4d3a0a"
"24","distribution",4,"Bunny","training","3","c(6, 0, 0)","furniture","fruits","mammals","closet","grapes","horse","closet","closet","item_l","furniture",1,NA,NA,NA,NA,NA,"8603ccb44d04ad3ce673391dbc4d3a0a"
"25","distribution",4,"Bunny","training","4","c(6, 0, 0)","furniture","fruits","mammals","drawer","monkey","melon","drawer","drawer","item_l","furniture",1,NA,NA,NA,NA,NA,"8603ccb44d04ad3ce673391dbc4d3a0a"
"26","distribution",4,"Bunny","training","5","c(6, 0, 0)","furniture","fruits","mammals","elephant","chair","strawberry","chair","chair","item_m","furniture",1,NA,NA,NA,NA,NA,"8603ccb44d04ad3ce673391dbc4d3a0a"
"27","distribution",4,"Bunny","training","6","c(6, 0, 0)","furniture","fruits","mammals","dog","orange","stool","stool","stool","item_r","furniture",1,NA,NA,NA,NA,NA,"8603ccb44d04ad3ce673391dbc4d3a0a"
"28","distribution",4,"Bunny","test","choice","c(6, 0, 0)","furniture","fruits","mammals","banana","bed","cat",NA,"cat","item_r","mammals",NA,0,0,1,"furniture",0,"8603ccb44d04ad3ce673391dbc4d3a0a"
"29","distribution",5,"Tiger","training","1","c(2, 2, 2)","fruits","mammals","vehicles","pineapple","dog","truck","dog","dog","item_m","mammals",1,NA,NA,NA,NA,NA,"8603ccb44d04ad3ce673391dbc4d3a0a"
"30","distribution",5,"Tiger","training","2","c(2, 2, 2)","fruits","mammals","vehicles","horse","train","apple","apple","apple","item_r","fruits",1,NA,NA,NA,NA,NA,"8603ccb44d04ad3ce673391dbc4d3a0a"
"31","distribution",5,"Tiger","training","3","c(2, 2, 2)","fruits","mammals","vehicles","boat","orange","monkey","orange","orange","item_m","fruits",1,NA,NA,NA,NA,NA,"8603ccb44d04ad3ce673391dbc4d3a0a"
"32","distribution",5,"Tiger","training","4","c(2, 2, 2)","fruits","mammals","vehicles","car","strawberry","cat","car","car","item_l","vehicles",1,NA,NA,NA,NA,NA,"8603ccb44d04ad3ce673391dbc4d3a0a"
"33","distribution",5,"Tiger","training","5","c(2, 2, 2)","fruits","mammals","vehicles","banana","elephant","bus","bus","bus","item_r","vehicles",1,NA,NA,NA,NA,NA,"8603ccb44d04ad3ce673391dbc4d3a0a"
