"","experiment","trial","agent","phase","slide","distribution","target1","target2","target3","item_l","item_m","item_r","correctItem","pick","pickPos","pickCat","correct_item","workerIp","correct_target1","correct_target2","correct_target3","lastInputCat","same_lastInput","workerid"
"1","recency",1,"Dog","training","1","c(5, 1, 0)","clothes","vehicles","mammals","socks","monkey","truck","socks","socks","item_l","clothes",1,"65.28.111.62",NA,NA,NA,NA,NA,"9c934f8657eb00180a6db6db2a946ff8"
"2","recency",1,"Dog","training","2","c(5, 1, 0)","clothes","vehicles","mammals","shirt","airplane","horse","shirt","shirt","item_l","clothes",1,"65.28.111.62",NA,NA,NA,NA,NA,"9c934f8657eb00180a6db6db2a946ff8"
"3","recency",1,"Dog","training","3","c(5, 1, 0)","clothes","vehicles","mammals","pants","elephant","motorbike","pants","pants","item_l","clothes",1,"65.28.111.62",NA,NA,NA,NA,NA,"9c934f8657eb00180a6db6db2a946ff8"
"4","recency",1,"Dog","training","4","c(5, 1, 0)","clothes","vehicles","mammals","cat","car","jacket","jacket","jacket","item_r","clothes",1,"65.28.111.62",NA,NA,NA,NA,NA,"9c934f8657eb00180a6db6db2a946ff8"
"5","recency",1,"Dog","training","5","c(5, 1, 0)","clothes","vehicles","mammals","cow","shoes","boat","shoes","shoes","item_m","clothes",1,"65.28.111.62",NA,NA,NA,NA,NA,"9c934f8657eb00180a6db6db2a946ff8"
"6","recency",1,"Dog","training","6","c(5, 1, 0)","clothes","vehicles","mammals","bus","bear","dress","bus","bus","item_l","vehicles",1,"65.28.111.62",NA,NA,NA,NA,NA,"9c934f8657eb00180a6db6db2a946ff8"
"7","recency",1,"Dog","test","choice","c(5, 1, 0)","clothes","vehicles","mammals","train","dog","skirt",NA,"train","item_l","vehicles",NA,"65.28.111.62",0,1,0,"vehicles",1,"9c934f8657eb00180a6db6db2a946ff8"
"8","recency",2,"Monkey","training","1","c(5, 1, 0)","vehicles","mammals","fruits","horse","melon","boat","boat","boat","item_r","vehicles",1,"65.28.111.62",NA,NA,NA,NA,NA,"9c934f8657eb00180a6db6db2a946ff8"
"9","recency",2,"Monkey","training","2","c(5, 1, 0)","vehicles","mammals","fruits","bus","grapes","dog","bus","bus","item_l","vehicles",1,"65.28.111.62",NA,NA,NA,NA,NA,"9c934f8657eb00180a6db6db2a946ff8"
"10","recency",2,"Monkey","training","3","c(5, 1, 0)","vehicles","mammals","fruits","motorbike","strawberry","cat","motorbike","motorbike","item_l","vehicles",1,"65.28.111.62",NA,NA,NA,NA,NA,"9c934f8657eb00180a6db6db2a946ff8"
"11","recency",2,"Monkey","training","4","c(5, 1, 0)","vehicles","mammals","fruits","truck","cow","apple","truck","truck","item_l","vehicles",1,"65.28.111.62",NA,NA,NA,NA,NA,"9c934f8657eb00180a6db6db2a946ff8"
"12","recency",2,"Monkey","training","5","c(5, 1, 0)","vehicles","mammals","fruits","orange","bear","train","train","train","item_r","vehicles",1,"65.28.111.62",NA,NA,NA,NA,NA,"9c934f8657eb00180a6db6db2a946ff8"
"13","recency",2,"Monkey","training","6","c(5, 1, 0)","vehicles","mammals","fruits","banana","airplane","monkey","monkey","monkey","item_r","mammals",1,"65.28.111.62",NA,NA,NA,NA,NA,"9c934f8657eb00180a6db6db2a946ff8"
"14","recency",2,"Monkey","test","choice","c(5, 1, 0)","vehicles","mammals","fruits","pineapple","car","elephant",NA,"car","item_m","vehicles",NA,"65.28.111.62",1,0,0,"mammals",0,"9c934f8657eb00180a6db6db2a946ff8"
"15","recency",3,"Sheep","training","1","c(5, 1, 0)","mammals","fruits","furniture","horse","sofa","strawberry","horse","horse","item_l","mammals",1,"65.28.111.62",NA,NA,NA,NA,NA,"9c934f8657eb00180a6db6db2a946ff8"
"16","recency",3,"Sheep","training","2","c(5, 1, 0)","mammals","fruits","furniture","lamp","elephant","melon","elephant","elephant","item_m","mammals",1,"65.28.111.62",NA,NA,NA,NA,NA,"9c934f8657eb00180a6db6db2a946ff8"
"17","recency",3,"Sheep","training","3","c(5, 1, 0)","mammals","fruits","furniture","cat","apple","table","cat","cat","item_l","mammals",1,"65.28.111.62",NA,NA,NA,NA,NA,"9c934f8657eb00180a6db6db2a946ff8"
"18","recency",3,"Sheep","training","4","c(5, 1, 0)","mammals","fruits","furniture","orange","drawer","bear","bear","bear","item_r","mammals",1,"65.28.111.62",NA,NA,NA,NA,NA,"9c934f8657eb00180a6db6db2a946ff8"
"19","recency",3,"Sheep","training","5","c(5, 1, 0)","mammals","fruits","furniture","pineapple","closet","dog","dog","dog","item_r","mammals",1,"65.28.111.62",NA,NA,NA,NA,NA,"9c934f8657eb00180a6db6db2a946ff8"
"20","recency",3,"Sheep","training","6","c(5, 1, 0)","mammals","fruits","furniture","stool","cow","banana","banana","banana","item_r","fruits",1,"65.28.111.62",NA,NA,NA,NA,NA,"9c934f8657eb00180a6db6db2a946ff8"
"21","recency",3,"Sheep","test","choice","c(5, 1, 0)","mammals","fruits","furniture","chair","monkey","grapes",NA,"grapes","item_r","fruits",NA,"65.28.111.62",0,1,0,"fruits",1,"9c934f8657eb00180a6db6db2a946ff8"
"22","recency",4,"Bear","training","1","c(2, 2, 2)","fruits","furniture","instruments","xylophone","melon","chair","xylophone","xylophone","item_l","instruments",1,"65.28.111.62",NA,NA,NA,NA,NA,"9c934f8657eb00180a6db6db2a946ff8"
"23","recency",4,"Bear","training","2","c(2, 2, 2)","fruits","furniture","instruments","piano","apple","table","piano","piano","item_l","instruments",1,"65.28.111.62",NA,NA,NA,NA,NA,"9c934f8657eb00180a6db6db2a946ff8"
"24","recency",4,"Bear","training","3","c(2, 2, 2)","fruits","furniture","instruments","lamp","trumpet","grapes","lamp","lamp","item_l","furniture",1,"65.28.111.62",NA,NA,NA,NA,NA,"9c934f8657eb00180a6db6db2a946ff8"
"25","recency",4,"Bear","training","4","c(2, 2, 2)","fruits","furniture","instruments","pineapple","stool","guitar","pineapple","pineapple","item_l","fruits",1,"65.28.111.62",NA,NA,NA,NA,NA,"9c934f8657eb00180a6db6db2a946ff8"
"26","recency",4,"Bear","training","5","c(2, 2, 2)","fruits","furniture","instruments","banana","violin","closet","closet","closet","item_r","furniture",1,"65.28.111.62",NA,NA,NA,NA,NA,"9c934f8657eb00180a6db6db2a946ff8"
"27","recency",4,"Bear","training","6","c(2, 2, 2)","fruits","furniture","instruments","strawberry","drum","sofa","strawberry","strawberry","item_l","fruits",1,"65.28.111.62",NA,NA,NA,NA,NA,"9c934f8657eb00180a6db6db2a946ff8"
"28","recency",4,"Bear","test","choice","c(2, 2, 2)","fruits","furniture","instruments","bed","flute","orange",NA,"orange","item_r","fruits",NA,"65.28.111.62",1,0,0,"fruits",1,"9c934f8657eb00180a6db6db2a946ff8"
"29","recency",5,"Elephant","training","1","c(5, 1, 0)","furniture","instruments","clothes","shoes","closet","xylophone","closet","closet","item_m","furniture",1,"65.28.111.62",NA,NA,NA,NA,NA,"9c934f8657eb00180a6db6db2a946ff8"
"30","recency",5,"Elephant","training","2","c(5, 1, 0)","furniture","instruments","clothes","shirt","drum","drawer","drawer","drawer","item_r","furniture",1,"65.28.111.62",NA,NA,NA,NA,NA,"9c934f8657eb00180a6db6db2a946ff8"
"31","recency",5,"Elephant","training","3","c(5, 1, 0)","furniture","instruments","clothes","sofa","socks","trumpet","sofa","sofa","item_l","furniture",1,"65.28.111.62",NA,NA,NA,NA,NA,"9c934f8657eb00180a6db6db2a946ff8"
"32","recency",5,"Elephant","training","4","c(5, 1, 0)","furniture","instruments","clothes","bed","flute","jacket","bed","bed","item_l","furniture",1,"65.28.111.62",NA,NA,NA,NA,NA,"9c934f8657eb00180a6db6db2a946ff8"
"33","recency",5,"Elephant","training","5","c(5, 1, 0)","furniture","instruments","clothes","lamp","guitar","skirt","lamp","lamp","item_l","furniture",1,"65.28.111.62",NA,NA,NA,NA,NA,"9c934f8657eb00180a6db6db2a946ff8"
"34","recency",5,"Elephant","training","6","c(5, 1, 0)","furniture","instruments","clothes","piano","chair","pants","piano","piano","item_l","instruments",1,"65.28.111.62",NA,NA,NA,NA,NA,"9c934f8657eb00180a6db6db2a946ff8"
"35","recency",5,"Elephant","test","choice","c(5, 1, 0)","furniture","instruments","clothes","dress","violin","table",NA,"violin","item_m","instruments",NA,"65.28.111.62",0,1,0,"instruments",1,"9c934f8657eb00180a6db6db2a946ff8"
"36","recency",6,"Cat","training","1","c(2, 2, 2)","instruments","clothes","vehicles","socks","violin","truck","truck","truck","item_r","vehicles",1,"65.28.111.62",NA,NA,NA,NA,NA,"9c934f8657eb00180a6db6db2a946ff8"
"37","recency",6,"Cat","training","2","c(2, 2, 2)","instruments","clothes","vehicles","car","guitar","pants","pants","pants","item_r","clothes",1,"65.28.111.62",NA,NA,NA,NA,NA,"9c934f8657eb00180a6db6db2a946ff8"
"38","recency",6,"Cat","training","3","c(2, 2, 2)","instruments","clothes","vehicles","motorbike","drum","shirt","drum","drum","item_m","instruments",1,"65.28.111.62",NA,NA,NA,NA,NA,"9c934f8657eb00180a6db6db2a946ff8"
"39","recency",6,"Cat","training","4","c(2, 2, 2)","instruments","clothes","vehicles","jacket","bus","flute","flute","flute","item_r","instruments",1,"65.28.111.62",NA,NA,NA,NA,NA,"9c934f8657eb00180a6db6db2a946ff8"
"40","recency",6,"Cat","training","5","c(2, 2, 2)","instruments","clothes","vehicles","shoes","trumpet","airplane","shoes","shoes","item_l","clothes",1,"65.28.111.62",NA,NA,NA,NA,NA,"9c934f8657eb00180a6db6db2a946ff8"
"41","recency",6,"Cat","training","6","c(2, 2, 2)","instruments","clothes","vehicles","skirt","xylophone","boat","boat","boat","item_r","vehicles",1,"65.28.111.62",NA,NA,NA,NA,NA,"9c934f8657eb00180a6db6db2a946ff8"
"42","recency",6,"Cat","test","choice","c(2, 2, 2)","instruments","clothes","vehicles","dress","piano","train",NA,"piano","item_m","instruments",NA,"65.28.111.62",1,0,0,"vehicles",0,"9c934f8657eb00180a6db6db2a946ff8"
"43","recency",1,"Beaver","training","1","c(5, 1, 0)","vehicles","mammals","fruits","cat","motorbike","pineapple","motorbike","motorbike","item_m","vehicles",1,"45.47.32.189",NA,NA,NA,NA,NA,"b2d249081548d8ae8ffca0ee47dd6385"
"44","recency",1,"Beaver","training","2","c(5, 1, 0)","vehicles","mammals","fruits","boat","horse","apple","boat","boat","item_l","vehicles",1,"45.47.32.189",NA,NA,NA,NA,NA,"b2d249081548d8ae8ffca0ee47dd6385"
