"","experiment","trial","agent","phase","slide","distribution","target1","target2","target3","item_l","item_m","item_r","correctItem","pick","pickPos","pickCat","correct_item","workerIp","correct_target1","correct_target2","correct_target3","lastInputCat","same_lastInput","workerid"
"1","distribution_adults_relative",1,"Mouse","training","1","c(3, 0, 0)","instruments","mammals","clothes","monkey","dress","guitar","guitar","guitar","item_r","instruments",1,"23.229.117.18",NA,NA,NA,NA,NA,"f6f652c69fa9e2c9c4faeaf15d2ca8a4"
"2","distribution_adults_relative",1,"Mouse","training","2","c(3, 0, 0)","instruments","mammals","clothes","bear","shoe","violin","violin","violin","item_r","instruments",1,"23.229.117.18",NA,NA,NA,NA,NA,"f6f652c69fa9e2c9c4faeaf15d2ca8a4"
"3","distribution_adults_relative",1,"Mouse","training","3","c(3, 0, 0)","instruments","mammals","clothes","trumpet","cow","hat","trumpet","trumpet","item_l","instruments",1,"23.229.117.18",NA,NA,NA,NA,NA,"f6f652c69fa9e2c9c4faeaf15d2ca8a4"
"4","distribution_adults_relative",1,"Mouse","test","choice","c(3, 0, 0)","instruments","mammals","clothes","cat","drum","sock",NA,"drum","item_m","instruments",NA,"23.229.117.18",1,0,0,"instruments",1,"f6f652c69fa9e2c9c4faeaf15d2ca8a4"
"5","distribution_adults_relative",2,"Beaver","training","1","c(2, 1, 0)","mammals","clothes","furniture","chair","shirt","bear","bear","bear","item_r","mammals",1,"23.229.117.18",NA,NA,NA,NA,NA,"f6f652c69fa9e2c9c4faeaf15d2ca8a4"
"6","distribution_adults_relative",2,"Beaver","training","2","c(2, 1, 0)","mammals","clothes","furniture","monkey","table","shoe","monkey","monkey","item_l","mammals",1,"23.229.117.18",NA,NA,NA,NA,NA,"f6f652c69fa9e2c9c4faeaf15d2ca8a4"
"7","distribution_adults_relative",2,"Beaver","training","3","c(2, 1, 0)","mammals","clothes","furniture","dress","sofa","cow","dress","dress","item_l","clothes",1,"23.229.117.18",NA,NA,NA,NA,NA,"f6f652c69fa9e2c9c4faeaf15d2ca8a4"
"8","distribution_adults_relative",2,"Beaver","test","choice","c(2, 1, 0)","mammals","clothes","furniture","stool","hat","horse",NA,"hat","item_m","clothes",NA,"23.229.117.18",0,1,0,"clothes",1,"f6f652c69fa9e2c9c4faeaf15d2ca8a4"
"9","distribution_adults_relative",3,"Monkey","training","1","c(3, 0, 0)","clothes","furniture","fruits","cherry","hat","stool","hat","hat","item_m","clothes",1,"23.229.117.18",NA,NA,NA,NA,NA,"f6f652c69fa9e2c9c4faeaf15d2ca8a4"
"10","distribution_adults_relative",3,"Monkey","training","2","c(3, 0, 0)","clothes","furniture","fruits","bed","apple","dress","dress","dress","item_r","clothes",1,"23.229.117.18",NA,NA,NA,NA,NA,"f6f652c69fa9e2c9c4faeaf15d2ca8a4"
"11","distribution_adults_relative",3,"Monkey","training","3","c(3, 0, 0)","clothes","furniture","fruits","pineapple","closet","shirt","shirt","shirt","item_r","clothes",1,"23.229.117.18",NA,NA,NA,NA,NA,"f6f652c69fa9e2c9c4faeaf15d2ca8a4"
"12","distribution_adults_relative",3,"Monkey","test","choice","c(3, 0, 0)","clothes","furniture","fruits","sock","drawer","melon",NA,"sock","item_l","clothes",NA,"23.229.117.18",1,0,0,"clothes",1,"f6f652c69fa9e2c9c4faeaf15d2ca8a4"
"13","distribution_adults_relative",4,"Elephant","training","1","c(2, 1, 0)","furniture","fruits","vehicles","airplane","drawer","cherry","cherry","cherry","item_r","fruits",1,"23.229.117.18",NA,NA,NA,NA,NA,"f6f652c69fa9e2c9c4faeaf15d2ca8a4"
"14","distribution_adults_relative",4,"Elephant","training","2","c(2, 1, 0)","furniture","fruits","vehicles","banana","chair","truck","chair","chair","item_m","furniture",1,"23.229.117.18",NA,NA,NA,NA,NA,"f6f652c69fa9e2c9c4faeaf15d2ca8a4"
"15","distribution_adults_relative",4,"Elephant","training","3","c(2, 1, 0)","furniture","fruits","vehicles","stool","pineapple","boat","stool","stool","item_l","furniture",1,"23.229.117.18",NA,NA,NA,NA,NA,"f6f652c69fa9e2c9c4faeaf15d2ca8a4"
"16","distribution_adults_relative",4,"Elephant","test","choice","c(2, 1, 0)","furniture","fruits","vehicles","motorbike","strawberry","sofa",NA,"strawberry","item_m","fruits",NA,"23.229.117.18",0,1,0,"furniture",0,"f6f652c69fa9e2c9c4faeaf15d2ca8a4"
"17","distribution_adults_relative",5,"Dog","training","1","c(1, 1, 1)","fruits","vehicles","instruments","orange","flute","motorbike","flute","flute","item_m","instruments",1,"23.229.117.18",NA,NA,NA,NA,NA,"f6f652c69fa9e2c9c4faeaf15d2ca8a4"
"18","distribution_adults_relative",5,"Dog","training","2","c(1, 1, 1)","fruits","vehicles","instruments","train","apple","piano","train","train","item_l","vehicles",1,"23.229.117.18",NA,NA,NA,NA,NA,"f6f652c69fa9e2c9c4faeaf15d2ca8a4"
"19","distribution_adults_relative",5,"Dog","training","3","c(1, 1, 1)","fruits","vehicles","instruments","violin","car","banana","banana","banana","item_r","fruits",1,"23.229.117.18",NA,NA,NA,NA,NA,"f6f652c69fa9e2c9c4faeaf15d2ca8a4"
"20","distribution_adults_relative",5,"Dog","test","choice","c(1, 1, 1)","fruits","vehicles","instruments","melon","drum","boat",NA,"melon","item_l","fruits",NA,"23.229.117.18",1,0,0,"fruits",1,"f6f652c69fa9e2c9c4faeaf15d2ca8a4"
"21","distribution_adults_relative",6,"Tiger","training","1","c(1, 1, 1)","vehicles","instruments","mammals","train","bear","flute","bear","bear","item_m","mammals",1,"23.229.117.18",NA,NA,NA,NA,NA,"f6f652c69fa9e2c9c4faeaf15d2ca8a4"
"22","distribution_adults_relative",6,"Tiger","training","2","c(1, 1, 1)","vehicles","instruments","mammals","motorbike","cow","violin","violin","violin","item_r","instruments",1,"23.229.117.18",NA,NA,NA,NA,NA,"f6f652c69fa9e2c9c4faeaf15d2ca8a4"
"23","distribution_adults_relative",6,"Tiger","training","3","c(1, 1, 1)","vehicles","instruments","mammals","bus","guitar","cat","bus","bus","item_l","vehicles",1,"23.229.117.18",NA,NA,NA,NA,NA,"f6f652c69fa9e2c9c4faeaf15d2ca8a4"
"24","distribution_adults_relative",6,"Tiger","test","choice","c(1, 1, 1)","vehicles","instruments","mammals","monkey","airplane","piano",NA,"piano","item_r","instruments",NA,"23.229.117.18",0,1,0,"vehicles",0,"f6f652c69fa9e2c9c4faeaf15d2ca8a4"
"25","distribution_adults_relative",1,"Bunny","training","1","c(1, 1, 1)","clothes","furniture","mammals","shirt","elephant","sofa","sofa","sofa","item_r","furniture",1,"23.229.117.39",NA,NA,NA,NA,NA,"53e1dbb431c0dad4929e32485e99b04d"
"26","distribution_adults_relative",1,"Bunny","training","2","c(1, 1, 1)","clothes","furniture","mammals","skirt","horse","stool","horse","horse","item_m","mammals",1,"23.229.117.39",NA,NA,NA,NA,NA,"53e1dbb431c0dad4929e32485e99b04d"
"27","distribution_adults_relative",1,"Bunny","training","3","c(1, 1, 1)","clothes","furniture","mammals","dog","sock","lamp","sock","sock","item_m","clothes",1,"23.229.117.39",NA,NA,NA,NA,NA,"53e1dbb431c0dad4929e32485e99b04d"
"28","distribution_adults_relative",1,"Bunny","test","choice","c(1, 1, 1)","clothes","furniture","mammals","cow","bed","dress",NA,"cow","item_l","mammals",NA,"23.229.117.39",0,0,1,"clothes",0,"53e1dbb431c0dad4929e32485e99b04d"
"29","distribution_adults_relative",2,"Cat","training","1","c(2, 1, 0)","furniture","mammals","vehicles","monkey","closet","truck","closet","closet","item_m","furniture",1,"23.229.117.39",NA,NA,NA,NA,NA,"53e1dbb431c0dad4929e32485e99b04d"
"30","distribution_adults_relative",2,"Cat","training","2","c(2, 1, 0)","furniture","mammals","vehicles","chair","bus","elephant","elephant","elephant","item_r","mammals",1,"23.229.117.39",NA,NA,NA,NA,NA,"53e1dbb431c0dad4929e32485e99b04d"
"31","distribution_adults_relative",2,"Cat","training","3","c(2, 1, 0)","furniture","mammals","vehicles","boat","bed","cow","bed","bed","item_m","furniture",1,"23.229.117.39",NA,NA,NA,NA,NA,"53e1dbb431c0dad4929e32485e99b04d"
"32","distribution_adults_relative",2,"Cat","test","choice","c(2, 1, 0)","furniture","mammals","vehicles","cat","drawer","motorbike",NA,"cat","item_l","mammals",NA,"23.229.117.39",0,1,0,"furniture",0,"53e1dbb431c0dad4929e32485e99b04d"
"33","distribution_adults_relative",3,"Mouse","training","1","c(3, 0, 0)","mammals","vehicles","instruments","elephant","car","trumpet","elephant","elephant","item_l","mammals",1,"23.229.117.39",NA,NA,NA,NA,NA,"53e1dbb431c0dad4929e32485e99b04d"
"34","distribution_adults_relative",3,"Mouse","training","2","c(3, 0, 0)","mammals","vehicles","instruments","train","monkey","xylophone","monkey","monkey","item_m","mammals",1,"23.229.117.39",NA,NA,NA,NA,NA,"53e1dbb431c0dad4929e32485e99b04d"
"35","distribution_adults_relative",3,"Mouse","training","3","c(3, 0, 0)","mammals","vehicles","instruments","piano","truck","cat","cat","cat","item_r","mammals",1,"23.229.117.39",NA,NA,NA,NA,NA,"53e1dbb431c0dad4929e32485e99b04d"
"36","distribution_adults_relative",3,"Mouse","test","choice","c(3, 0, 0)","mammals","vehicles","instruments","guitar","bus","cow",NA,"cow","item_r","mammals",NA,"23.229.117.39",1,0,0,"mammals",1,"53e1dbb431c0dad4929e32485e99b04d"
"37","distribution_adults_relative",4,"Monkey","training","1","c(2, 1, 0)","vehicles","instruments","fruits","boat","trumpet","orange","boat","boat","item_l","vehicles",1,"23.229.117.39",NA,NA,NA,NA,NA,"53e1dbb431c0dad4929e32485e99b04d"
"38","distribution_adults_relative",4,"Monkey","training","2","c(2, 1, 0)","vehicles","instruments","fruits","violin","bus","cherry","violin","violin","item_l","instruments",1,"23.229.117.39",NA,NA,NA,NA,NA,"53e1dbb431c0dad4929e32485e99b04d"
"39","distribution_adults_relative",4,"Monkey","training","3","c(2, 1, 0)","vehicles","instruments","fruits","flute","apple","train","train","train","item_r","vehicles",1,"23.229.117.39",NA,NA,NA,NA,NA,"53e1dbb431c0dad4929e32485e99b04d"
"40","distribution_adults_relative",4,"Monkey","test","choice","c(2, 1, 0)","vehicles","instruments","fruits","guitar","strawberry","car",NA,"strawberry","item_m","fruits",NA,"23.229.117.39",0,0,1,"vehicles",0,"53e1dbb431c0dad4929e32485e99b04d"
"41","distribution_adults_relative",5,"Bear","training","1","c(3, 0, 0)","instruments","fruits","clothes","dress","cherry","drum","drum","drum","item_r","instruments",1,"23.229.117.39",NA,NA,NA,NA,NA,"53e1dbb431c0dad4929e32485e99b04d"
