"","experiment","trial","agent","phase","slide","distribution","target1","target2","target3","item_l","item_m","item_r","correctItem","pick","pickPos","pickCat","correct_item","workerIp","correct_target1","correct_target2","correct_target3","lastInputCat","same_lastInput","workerid"
"1","distribution_adults",1,"Dog","training","1","c(6, 0, 0)","instruments","vehicles","mammals","bear","piano","car","piano","piano","item_m","instruments",1,"199.241.125.89",NA,NA,NA,NA,NA,"e37bff68000cd69fd785aec1f514b4fe"
"2","distribution_adults",1,"Dog","training","2","c(6, 0, 0)","instruments","vehicles","mammals","dog","xylophone","bus","xylophone","xylophone","item_m","instruments",1,"199.241.125.89",NA,NA,NA,NA,NA,"e37bff68000cd69fd785aec1f514b4fe"
"3","distribution_adults",1,"Dog","training","3","c(6, 0, 0)","instruments","vehicles","mammals","flute","cat","motorbike","flute","flute","item_l","instruments",1,"199.241.125.89",NA,NA,NA,NA,NA,"e37bff68000cd69fd785aec1f514b4fe"
"4","distribution_adults",1,"Dog","training","4","c(6, 0, 0)","instruments","vehicles","mammals","cow","violin","truck","violin","violin","item_m","instruments",1,"199.241.125.89",NA,NA,NA,NA,NA,"e37bff68000cd69fd785aec1f514b4fe"
"5","distribution_adults",1,"Dog","training","5","c(6, 0, 0)","instruments","vehicles","mammals","horse","trumpet","boat","trumpet","trumpet","item_m","instruments",1,"199.241.125.89",NA,NA,NA,NA,NA,"e37bff68000cd69fd785aec1f514b4fe"
"6","distribution_adults",1,"Dog","training","6","c(6, 0, 0)","instruments","vehicles","mammals","airplane","monkey","guitar","guitar","guitar","item_r","instruments",1,"199.241.125.89",NA,NA,NA,NA,NA,"e37bff68000cd69fd785aec1f514b4fe"
"7","distribution_adults",1,"Dog","test","choice","c(6, 0, 0)","instruments","vehicles","mammals","train","elephant","drum",NA,"drum","item_r","instruments",NA,"199.241.125.89",1,0,0,"instruments",1,"e37bff68000cd69fd785aec1f514b4fe"
"8","distribution_adults",2,"Mouse","training","1","c(6, 0, 0)","vehicles","mammals","clothes","bus","elephant","jacket","bus","bus","item_l","vehicles",1,"199.241.125.89",NA,NA,NA,NA,NA,"e37bff68000cd69fd785aec1f514b4fe"
"9","distribution_adults",2,"Mouse","training","2","c(6, 0, 0)","vehicles","mammals","clothes","dress","motorbike","dog","motorbike","motorbike","item_m","vehicles",1,"199.241.125.89",NA,NA,NA,NA,NA,"e37bff68000cd69fd785aec1f514b4fe"
"10","distribution_adults",2,"Mouse","training","3","c(6, 0, 0)","vehicles","mammals","clothes","car","horse","sock","car","car","item_l","vehicles",1,"199.241.125.89",NA,NA,NA,NA,NA,"e37bff68000cd69fd785aec1f514b4fe"
"11","distribution_adults",2,"Mouse","training","4","c(6, 0, 0)","vehicles","mammals","clothes","bear","shirt","truck","truck","truck","item_r","vehicles",1,"199.241.125.89",NA,NA,NA,NA,NA,"e37bff68000cd69fd785aec1f514b4fe"
"12","distribution_adults",2,"Mouse","training","5","c(6, 0, 0)","vehicles","mammals","clothes","boat","skirt","monkey","boat","boat","item_l","vehicles",1,"199.241.125.89",NA,NA,NA,NA,NA,"e37bff68000cd69fd785aec1f514b4fe"
"13","distribution_adults",2,"Mouse","training","6","c(6, 0, 0)","vehicles","mammals","clothes","train","cow","shoe","train","train","item_l","vehicles",1,"199.241.125.89",NA,NA,NA,NA,NA,"e37bff68000cd69fd785aec1f514b4fe"
"14","distribution_adults",2,"Mouse","test","choice","c(6, 0, 0)","vehicles","mammals","clothes","cat","hat","airplane",NA,"airplane","item_r","vehicles",NA,"199.241.125.89",1,0,0,"vehicles",1,"e37bff68000cd69fd785aec1f514b4fe"
"15","distribution_adults",3,"Bunny","training","1","c(6, 0, 0)","mammals","clothes","furniture","drawer","shoe","dog","dog","dog","item_r","mammals",1,"199.241.125.89",NA,NA,NA,NA,NA,"e37bff68000cd69fd785aec1f514b4fe"
"16","distribution_adults",3,"Bunny","training","2","c(6, 0, 0)","mammals","clothes","furniture","jacket","bear","stool","bear","bear","item_m","mammals",1,"199.241.125.89",NA,NA,NA,NA,NA,"e37bff68000cd69fd785aec1f514b4fe"
"17","distribution_adults",3,"Bunny","training","3","c(6, 0, 0)","mammals","clothes","furniture","shirt","sofa","elephant","elephant","elephant","item_r","mammals",1,"199.241.125.89",NA,NA,NA,NA,NA,"e37bff68000cd69fd785aec1f514b4fe"
"18","distribution_adults",3,"Bunny","training","4","c(6, 0, 0)","mammals","clothes","furniture","horse","sock","closet","horse","horse","item_l","mammals",1,"199.241.125.89",NA,NA,NA,NA,NA,"e37bff68000cd69fd785aec1f514b4fe"
"19","distribution_adults",3,"Bunny","training","5","c(6, 0, 0)","mammals","clothes","furniture","hat","cat","bed","cat","cat","item_m","mammals",1,"199.241.125.89",NA,NA,NA,NA,NA,"e37bff68000cd69fd785aec1f514b4fe"
"20","distribution_adults",3,"Bunny","training","6","c(6, 0, 0)","mammals","clothes","furniture","cow","chair","dress","cow","cow","item_l","mammals",1,"199.241.125.89",NA,NA,NA,NA,NA,"e37bff68000cd69fd785aec1f514b4fe"
"21","distribution_adults",3,"Bunny","test","choice","c(6, 0, 0)","mammals","clothes","furniture","skirt","monkey","lamp",NA,"monkey","item_m","mammals",NA,"199.241.125.89",1,0,0,"mammals",1,"e37bff68000cd69fd785aec1f514b4fe"
"22","distribution_adults",4,"Beaver","training","1","c(6, 0, 0)","clothes","furniture","fruits","apple","closet","skirt","skirt","skirt","item_r","clothes",1,"199.241.125.89",NA,NA,NA,NA,NA,"e37bff68000cd69fd785aec1f514b4fe"
"23","distribution_adults",4,"Beaver","training","2","c(6, 0, 0)","clothes","furniture","fruits","table","shoe","cherry","shoe","shoe","item_m","clothes",1,"199.241.125.89",NA,NA,NA,NA,NA,"e37bff68000cd69fd785aec1f514b4fe"
"24","distribution_adults",4,"Beaver","training","3","c(6, 0, 0)","clothes","furniture","fruits","orange","hat","drawer","hat","hat","item_m","clothes",1,"199.241.125.89",NA,NA,NA,NA,NA,"e37bff68000cd69fd785aec1f514b4fe"
"25","distribution_adults",4,"Beaver","training","4","c(6, 0, 0)","clothes","furniture","fruits","pineapple","sofa","jacket","jacket","jacket","item_r","clothes",1,"199.241.125.89",NA,NA,NA,NA,NA,"e37bff68000cd69fd785aec1f514b4fe"
"26","distribution_adults",4,"Beaver","training","5","c(6, 0, 0)","clothes","furniture","fruits","chair","sock","banana","sock","sock","item_m","clothes",1,"199.241.125.89",NA,NA,NA,NA,NA,"e37bff68000cd69fd785aec1f514b4fe"
"27","distribution_adults",4,"Beaver","training","6","c(6, 0, 0)","clothes","furniture","fruits","strawberry","bed","dress","dress","dress","item_r","clothes",1,"199.241.125.89",NA,NA,NA,NA,NA,"e37bff68000cd69fd785aec1f514b4fe"
"28","distribution_adults",4,"Beaver","test","choice","c(6, 0, 0)","clothes","furniture","fruits","lamp","melon","shirt",NA,"shirt","item_r","clothes",NA,"199.241.125.89",1,0,0,"clothes",1,"e37bff68000cd69fd785aec1f514b4fe"
"29","distribution_adults",5,"Cat","training","1","c(6, 0, 0)","furniture","fruits","instruments","drum","melon","drawer","drawer","drawer","item_r","furniture",1,"199.241.125.89",NA,NA,NA,NA,NA,"e37bff68000cd69fd785aec1f514b4fe"
"30","distribution_adults",5,"Cat","training","2","c(6, 0, 0)","furniture","fruits","instruments","apple","trumpet","table","table","table","item_r","furniture",1,"199.241.125.89",NA,NA,NA,NA,NA,"e37bff68000cd69fd785aec1f514b4fe"
"31","distribution_adults",5,"Cat","training","3","c(6, 0, 0)","furniture","fruits","instruments","guitar","bed","cherry","bed","bed","item_m","furniture",1,"199.241.125.89",NA,NA,NA,NA,NA,"e37bff68000cd69fd785aec1f514b4fe"
"32","distribution_adults",5,"Cat","training","4","c(6, 0, 0)","furniture","fruits","instruments","lamp","strawberry","flute","lamp","lamp","item_l","furniture",1,"199.241.125.89",NA,NA,NA,NA,NA,"e37bff68000cd69fd785aec1f514b4fe"
"33","distribution_adults",5,"Cat","training","5","c(6, 0, 0)","furniture","fruits","instruments","violin","closet","pineapple","closet","closet","item_m","furniture",1,"199.241.125.89",NA,NA,NA,NA,NA,"e37bff68000cd69fd785aec1f514b4fe"
"34","distribution_adults",5,"Cat","training","6","c(6, 0, 0)","furniture","fruits","instruments","piano","orange","chair","chair","chair","item_r","furniture",1,"199.241.125.89",NA,NA,NA,NA,NA,"e37bff68000cd69fd785aec1f514b4fe"
"35","distribution_adults",5,"Cat","test","choice","c(6, 0, 0)","furniture","fruits","instruments","stool","banana","xylophone",NA,"stool","item_l","furniture",NA,"199.241.125.89",1,0,0,"furniture",1,"e37bff68000cd69fd785aec1f514b4fe"
"36","distribution_adults",6,"Tiger","training","1","c(6, 0, 0)","fruits","instruments","vehicles","boat","piano","banana","banana","banana","item_r","fruits",1,"199.241.125.89",NA,NA,NA,NA,NA,"e37bff68000cd69fd785aec1f514b4fe"
"37","distribution_adults",6,"Tiger","training","2","c(6, 0, 0)","fruits","instruments","vehicles","violin","pineapple","train","pineapple","pineapple","item_m","fruits",1,"199.241.125.89",NA,NA,NA,NA,NA,"e37bff68000cd69fd785aec1f514b4fe"
"38","distribution_adults",6,"Tiger","training","3","c(6, 0, 0)","fruits","instruments","vehicles","car","guitar","strawberry","strawberry","strawberry","item_r","fruits",1,"199.241.125.89",NA,NA,NA,NA,NA,"e37bff68000cd69fd785aec1f514b4fe"
"39","distribution_adults",6,"Tiger","training","4","c(6, 0, 0)","fruits","instruments","vehicles","xylophone","melon","motorbike","melon","melon","item_m","fruits",1,"199.241.125.89",NA,NA,NA,NA,NA,"e37bff68000cd69fd785aec1f514b4fe"
"40","distribution_adults",6,"Tiger","training","5","c(6, 0, 0)","fruits","instruments","vehicles","flute","cherry","airplane","cherry","cherry","item_m","fruits",1,"199.241.125.89",NA,NA,NA,NA,NA,"e37bff68000cd69fd785aec1f514b4fe"
"41","distribution_adults",6,"Tiger","training","6","c(6, 0, 0)","fruits","instruments","vehicles","apple","drum","truck","apple","apple","item_l","fruits",1,"199.241.125.89",NA,NA,NA,NA,NA,"e37bff68000cd69fd785aec1f514b4fe"
"42","distribution_adults",6,"Tiger","test","choice","c(6, 0, 0)","fruits","instruments","vehicles","trumpet","bus","orange",NA,"orange","item_r","fruits",NA,"199.241.125.89",1,0,0,"fruits",1,"e37bff68000cd69fd785aec1f514b4fe"
"43","distribution_adults",1,"Bear","training","1","c(6, 0, 0)","furniture","vehicles","mammals","bear","closet","motorbike","closet","closet","item_m","furniture",1,"47.210.8.68",NA,NA,NA,NA,NA,"0081862a5c9a3ef78f9758b7e7604d4f"
"44","distribution_adults",1,"Bear","training","2","c(6, 0, 0)","furniture","vehicles","mammals","lamp","truck","monkey","lamp","lamp","item_l","furniture",1,"47.210.8.68",NA,NA,NA,NA,NA,"0081862a5c9a3ef78f9758b7e7604d4f"
"45","distribution_adults",1,"Bear","training","3","c(6, 0, 0)","furniture","vehicles","mammals","elephant","bus","sofa","sofa","sofa","item_r","furniture",1,"47.210.8.68",NA,NA,NA,NA,NA,"0081862a5c9a3ef78f9758b7e7604d4f"
"46","distribution_adults",1,"Bear","training","4","c(6, 0, 0)","furniture","vehicles","mammals","train","stool","cow","stool","stool","item_m","furniture",1,"47.210.8.68",NA,NA,NA,NA,NA,"0081862a5c9a3ef78f9758b7e7604d4f"
"47","distribution_adults",1,"Bear","training","5","c(6, 0, 0)","furniture","vehicles","mammals","boat","horse","table","table","table","item_r","furniture",1,"47.210.8.68",NA,NA,NA,NA,NA,"0081862a5c9a3ef78f9758b7e7604d4f"
"48","distribution_adults",1,"Bear","training","6","c(6, 0, 0)","furniture","vehicles","mammals","airplane","drawer","cat","drawer","drawer","item_m","furniture",1,"47.210.8.68",NA,NA,NA,NA,NA,"0081862a5c9a3ef78f9758b7e7604d4f"
"49","distribution_adults",1,"Bear","test","choice","c(6, 0, 0)","furniture","vehicles","mammals","car","bed","dog",NA,"bed","item_m","furniture",NA,"47.210.8.68",1,0,0,"furniture",1,"0081862a5c9a3ef78f9758b7e7604d4f"
"50","distribution_adults",2,"Beaver","training","1","c(6, 0, 0)","vehicles","mammals","fruits","strawberry","motorbike","cow","motorbike","motorbike","item_m","vehicles",1,"47.210.8.68",NA,NA,NA,NA,NA,"0081862a5c9a3ef78f9758b7e7604d4f"
"51","distribution_adults",2,"Beaver","training","2","c(6, 0, 0)","vehicles","mammals","fruits","apple","car","elephant","car","car","item_m","vehicles",1,"47.210.8.68",NA,NA,NA,NA,NA,"0081862a5c9a3ef78f9758b7e7604d4f"
