id,age_group,age_num,sex,experiment,trial,condition,speaker,target_category,picked_category,correct
part_1_speaker_change,4,4.62716894977169,F,speaker_change,1,different_speaker,Frog,mammals,vehicles,0
part_1_speaker_change,4,4.62716894977169,F,speaker_change,2,different_speaker,Tiger,vehicles,clothes,0
part_1_speaker_change,4,4.62716894977169,F,speaker_change,3,same_speaker,Cat,clothes,fruits,0
part_1_speaker_change,4,4.62716894977169,F,speaker_change,4,same_speaker,Mouse,fruits,fruits,1
part_2_speaker_change,3,3.662785388127854,F,speaker_change,1,same_speaker,Tiger,clothes,clothes,1
part_2_speaker_change,3,3.662785388127854,F,speaker_change,2,different_speaker,Elephant,fruits,mammals,0
part_2_speaker_change,3,3.662785388127854,F,speaker_change,3,same_speaker,Bear,mammals,mammals,1
part_2_speaker_change,3,3.662785388127854,F,speaker_change,4,different_speaker,Sheep,vehicles,vehicles,1
part_3_speaker_change,4,4.58607305936073,F,speaker_change,1,different_speaker,Frog,fruits,fruits,1
part_3_speaker_change,4,4.58607305936073,F,speaker_change,2,same_speaker,Tiger,clothes,mammals,1
part_3_speaker_change,4,4.58607305936073,F,speaker_change,3,different_speaker,Sheep,mammals,fruits,0
part_3_speaker_change,4,4.58607305936073,F,speaker_change,4,same_speaker,Elephant,vehicles,vehicles,1
part_5_speaker_change,4,4.55593607305936,F,speaker_change,1,same_speaker,Sheep,clothes,clothes,1
part_5_speaker_change,4,4.55593607305936,F,speaker_change,2,different_speaker,Mouse,vehicles,fruits,0
part_5_speaker_change,4,4.55593607305936,F,speaker_change,3,different_speaker,Cat,mammals,mammals,1
part_5_speaker_change,4,4.55593607305936,F,speaker_change,4,same_speaker,Elephant,fruits,vehicles,0
part_6_speaker_change,3,3.9559360730593607,F,speaker_change,1,different_speaker,Frog,mammals,fruits,0
part_6_speaker_change,3,3.9559360730593607,F,speaker_change,2,same_speaker,Cat,fruits,fruits,1
part_6_speaker_change,3,3.9559360730593607,F,speaker_change,3,different_speaker,Mouse,clothes,clothes,1
part_6_speaker_change,3,3.9559360730593607,F,speaker_change,4,same_speaker,Bear,vehicles,vehicles,1
part_7_speaker_change,3,3.3970319634703197,M,speaker_change,1,same_speaker,Bear,vehicles,clothes,0
part_7_speaker_change,3,3.3970319634703197,M,speaker_change,2,same_speaker,Elephant,clothes,clothes,1
part_7_speaker_change,3,3.3970319634703197,M,speaker_change,3,different_speaker,Mouse,mammals,fruits,0
part_7_speaker_change,3,3.3970319634703197,M,speaker_change,4,different_speaker,Sheep,fruits,fruits,1
part_8_speaker_change,3,3.2381278538812786,M,speaker_change,1,same_speaker,Sheep,mammals,mammals,1
part_8_speaker_change,3,3.2381278538812786,M,speaker_change,2,different_speaker,Cat,clothes,clothes,1
part_8_speaker_change,3,3.2381278538812786,M,speaker_change,3,same_speaker,Mouse,vehicles,vehicles,1
part_8_speaker_change,3,3.2381278538812786,M,speaker_change,4,different_speaker,Bear,fruits,mammals,0
part_9_speaker_change,3,3.0737442922374427,M,speaker_change,1,different_speaker,Mouse,mammals,mammals,1
part_9_speaker_change,3,3.0737442922374427,M,speaker_change,2,different_speaker,Tiger,vehicles,fruits,0
part_9_speaker_change,3,3.0737442922374427,M,speaker_change,3,same_speaker,Elephant,clothes,fruits,0
part_9_speaker_change,3,3.0737442922374427,M,speaker_change,4,same_speaker,Sheep,fruits,fruits,1
part_4_speaker_change,3,3.7285388127853882,M,speaker_change,1,different_speaker,Bear,clothes,vehicles,0
part_4_speaker_change,3,3.7285388127853882,M,speaker_change,2,different_speaker,Elephant,vehicles,vehicles,1
part_4_speaker_change,3,3.7285388127853882,M,speaker_change,3,same_speaker,Sheep,fruits,mammals,0
part_4_speaker_change,3,3.7285388127853882,M,speaker_change,4,same_speaker,Cat,mammals,mammals,1
part_10_speaker_change,4,4.2271689497716896,F,speaker_change,1,same_speaker,Frog,fruits,fruits,1
part_10_speaker_change,4,4.2271689497716896,F,speaker_change,2,different_speaker,Cat,clothes,clothes,1
part_10_speaker_change,4,4.2271689497716896,F,speaker_change,3,different_speaker,Tiger,mammals,fruits,0
part_10_speaker_change,4,4.2271689497716896,F,speaker_change,4,same_speaker,Bear,vehicles,fruits,0
part_13_speaker_change,3,3.1121004566210044,F,speaker_change,1,different_speaker,Mouse,clothes,clothes,1
part_13_speaker_change,3,3.1121004566210044,F,speaker_change,2,same_speaker,Elephant,mammals,vehicles,0
part_13_speaker_change,3,3.1121004566210044,F,speaker_change,3,different_speaker,Tiger,vehicles,clothes,0
part_13_speaker_change,3,3.1121004566210044,F,speaker_change,4,same_speaker,Cat,fruits,mammals,0
part_14_speaker_change,3,3.9203196347031963,M,speaker_change,1,different_speaker,Frog,mammals,fruits,0
part_14_speaker_change,3,3.9203196347031963,M,speaker_change,2,same_speaker,Bear,clothes,vehicles,0
part_14_speaker_change,3,3.9203196347031963,M,speaker_change,3,different_speaker,Mouse,fruits,mammals,0
part_14_speaker_change,3,3.9203196347031963,M,speaker_change,4,same_speaker,Sheep,vehicles,vehicles,1
part_15_speaker_change,3,3.4381278538812787,F,speaker_change,1,different_speaker,Elephant,clothes,fruits,0
part_15_speaker_change,3,3.4381278538812787,F,speaker_change,2,same_speaker,Tiger,mammals,fruits,0
part_15_speaker_change,3,3.4381278538812787,F,speaker_change,3,different_speaker,Cat,fruits,fruits,1
part_15_speaker_change,3,3.4381278538812787,F,speaker_change,4,same_speaker,Bear,vehicles,clothes,0
part_16_speaker_change,3,3.558675799086758,F,speaker_change,1,same_speaker,Tiger,clothes,mammals,0
part_16_speaker_change,3,3.558675799086758,F,speaker_change,2,different_speaker,Frog,mammals,mammals,1
part_16_speaker_change,3,3.558675799086758,F,speaker_change,3,same_speaker,Mouse,fruits,fruits,1
part_16_speaker_change,3,3.558675799086758,F,speaker_change,4,different_speaker,Cat,vehicles,mammals,0
part_17_speaker_change,3,3.391552511415525,F,speaker_change,1,different_speaker,Bear,fruits,clothes,0
part_17_speaker_change,3,3.391552511415525,F,speaker_change,2,different_speaker,Mouse,vehicles,vehicles,1
part_17_speaker_change,3,3.391552511415525,F,speaker_change,3,same_speaker,Frog,clothes,fruits,0
part_17_speaker_change,3,3.391552511415525,F,speaker_change,4,same_speaker,Tiger,mammals,fruits,0
part_11_speaker_change,4,4.0573059360730594,M,speaker_change,1,same_speaker,Sheep,vehicles,vehicles,1
part_11_speaker_change,4,4.0573059360730594,M,speaker_change,2,different_speaker,Elephant,clothes,fruits,0
part_11_speaker_change,4,4.0573059360730594,M,speaker_change,3,different_speaker,Frog,fruits,vehicles,0
part_11_speaker_change,4,4.0573059360730594,M,speaker_change,4,same_speaker,Tiger,mammals,mammals,1
part_12_speaker_change,4,4.0573059360730594,F,speaker_change,1,different_speaker,Sheep,clothes,clothes,1
part_12_speaker_change,4,4.0573059360730594,F,speaker_change,2,different_speaker,Elephant,vehicles,vehicles,1
part_12_speaker_change,4,4.0573059360730594,F,speaker_change,3,same_speaker,Bear,mammals,clothes,0
part_12_speaker_change,4,4.0573059360730594,F,speaker_change,4,same_speaker,Frog,fruits,fruits,1
part_20_speaker_change,3,3.4792237442922374,F,speaker_change,1,different_speaker,Tiger,clothes,vehicles,0
part_20_speaker_change,3,3.4792237442922374,F,speaker_change,2,different_speaker,Elephant,fruits,vehicles,0
