id,age_group,age_num,sex,experiment,trial,condition,speaker,target_category,picked_category,correct
part_1_variable_input,4,4.725913242009132,F,variable_input,1,low_input,Mouse,mammals,mammals,1
part_1_variable_input,4,4.725913242009132,F,variable_input,2,high_input,Pig,vehicles,vehicles,1
part_1_variable_input,4,4.725913242009132,F,variable_input,3,low_input,Bunny,clothes,clothes,1
part_1_variable_input,4,4.725913242009132,F,variable_input,4,high_input,Beaver,fruits,fruits,1
part_2_variable_input,3,3.2546803652968035,M,variable_input,1,low_input,Mouse,vehicles,mammals,0
part_2_variable_input,3,3.2546803652968035,M,variable_input,2,high_input,Sheep,mammals,clothes,0
part_2_variable_input,3,3.2546803652968035,M,variable_input,3,high_input,Pig,fruits,vehicles,0
part_2_variable_input,3,3.2546803652968035,M,variable_input,4,low_input,Beaver,clothes,mammals,0
part_3_variable_input,4,4.175228310502283,F,variable_input,1,low_input,Beaver,clothes,fruits,0
part_3_variable_input,4,4.175228310502283,F,variable_input,2,low_input,Bunny,vehicles,vehicles,1
part_3_variable_input,4,4.175228310502283,F,variable_input,3,high_input,Pig,fruits,mammals,0
part_3_variable_input,4,4.175228310502283,F,variable_input,4,high_input,Sheep,mammals,mammals,1
part_4_variable_input,3,3.6738584474885845,M,variable_input,1,high_input,Pig,mammals,clothes,0
part_4_variable_input,3,3.6738584474885845,M,variable_input,2,low_input,Bunny,vehicles,vehicles,1
part_4_variable_input,3,3.6738584474885845,M,variable_input,3,high_input,Frog,clothes,mammals,0
part_4_variable_input,3,3.6738584474885845,M,variable_input,4,low_input,Tiger,fruits,vehicles,0
part_5_variable_input,3,3.9341324200913244,M,variable_input,1,high_input,Tiger,vehicles,vehicles,1
part_5_variable_input,3,3.9341324200913244,M,variable_input,2,high_input,Sheep,mammals,fruits,0
part_5_variable_input,3,3.9341324200913244,M,variable_input,3,low_input,Bunny,fruits,fruits,1
part_5_variable_input,3,3.9341324200913244,M,variable_input,4,low_input,Pig,clothes,clothes,1
part_6_variable_input,3,3.6245433789954338,M,variable_input,1,low_input,Frog,mammals,vehicles,0
part_6_variable_input,3,3.6245433789954338,M,variable_input,2,high_input,Pig,fruits,fruits,1
part_6_variable_input,3,3.6245433789954338,M,variable_input,3,low_input,Bunny,vehicles,vehicles,1
part_6_variable_input,3,3.6245433789954338,M,variable_input,4,high_input,Mouse,clothes,clothes,1
part_7_variable_input,4,4.09851598173516,F,variable_input,1,low_input,Bunny,mammals,fruits,0
part_7_variable_input,4,4.09851598173516,F,variable_input,2,high_input,Sheep,fruits,fruits,1
part_7_variable_input,4,4.09851598173516,F,variable_input,3,high_input,Tiger,vehicles,clothes,0
part_7_variable_input,4,4.09851598173516,F,variable_input,4,low_input,Pig,clothes,clothes,1
part_8_variable_input,3,3.3807077625570776,M,variable_input,1,high_input,Bunny,fruits,fruits,1
part_8_variable_input,3,3.3807077625570776,M,variable_input,2,low_input,Beaver,mammals,mammals,1
part_8_variable_input,3,3.3807077625570776,M,variable_input,3,high_input,Frog,vehicles,fruits,0
part_8_variable_input,3,3.3807077625570776,M,variable_input,4,low_input,Tiger,clothes,mammals,0
part_9_variable_input,3,2.9998858447488583,M,variable_input,1,low_input,Sheep,clothes,fruits,0
part_9_variable_input,3,2.9998858447488583,M,variable_input,2,high_input,Tiger,fruits,vehicles,0
part_9_variable_input,3,2.9998858447488583,M,variable_input,3,high_input,Bunny,mammals,vehicles,0
part_9_variable_input,3,2.9998858447488583,M,variable_input,4,low_input,Pig,vehicles,vehicles,1
part_10_variable_input,4,4.290296803652968,M,variable_input,1,low_input,Sheep,mammals,mammals,1
part_10_variable_input,4,4.290296803652968,M,variable_input,2,high_input,Bunny,fruits,fruits,1
part_10_variable_input,4,4.290296803652968,M,variable_input,3,high_input,Tiger,clothes,mammals,0
part_10_variable_input,4,4.290296803652968,M,variable_input,4,low_input,Mouse,vehicles,mammals,0
part_11_variable_input,4,4.021803652968036,F,variable_input,1,low_input,Tiger,fruits,mammals,0
part_11_variable_input,4,4.021803652968036,F,variable_input,2,low_input,Bunny,mammals,mammals,1
part_11_variable_input,4,4.021803652968036,F,variable_input,3,high_input,Mouse,clothes,vehicles,0
part_11_variable_input,4,4.021803652968036,F,variable_input,4,high_input,Pig,vehicles,mammals,0
part_12_variable_input,3,3.1422374429223745,M,variable_input,1,low_input,Pig,clothes,vehicles,0
part_12_variable_input,3,3.1422374429223745,M,variable_input,2,high_input,Sheep,mammals,vehicles,0
part_12_variable_input,3,3.1422374429223745,M,variable_input,3,low_input,Frog,vehicles,vehicles,1
part_12_variable_input,3,3.1422374429223745,M,variable_input,4,high_input,Beaver,fruits,fruits,1
part_13_variable_input,3,3.235388127853881,F,variable_input,1,low_input,Beaver,clothes,fruits,0
part_13_variable_input,3,3.235388127853881,F,variable_input,2,high_input,Sheep,fruits,fruits,1
part_13_variable_input,3,3.235388127853881,F,variable_input,3,low_input,Mouse,mammals,clothes,0
part_13_variable_input,3,3.235388127853881,F,variable_input,4,high_input,Tiger,vehicles,vehicles,1
part_14_variable_input,3,3.1477168949771688,F,variable_input,1,low_input,Frog,mammals,clothes,0
part_14_variable_input,3,3.1477168949771688,F,variable_input,2,high_input,Pig,fruits,fruits,1
part_14_variable_input,3,3.1477168949771688,F,variable_input,3,low_input,Beaver,clothes,mammals,0
part_14_variable_input,3,3.1477168949771688,F,variable_input,4,high_input,Tiger,vehicles,vehicles,1
part_15_variable_input,3,3.528538812785388,M,variable_input,1,low_input,Beaver,mammals,fruits,0
part_15_variable_input,3,3.528538812785388,M,variable_input,2,high_input,Bunny,clothes,vehicles,0
part_15_variable_input,3,3.528538812785388,M,variable_input,3,low_input,Mouse,fruits,fruits,1
part_15_variable_input,3,3.528538812785388,M,variable_input,4,high_input,Tiger,vehicles,vehicles,1
part_16_variable_input,3,3.7970319634703196,M,variable_input,1,high_input,Tiger,clothes,clothes,1
part_16_variable_input,3,3.7970319634703196,M,variable_input,2,low_input,Mouse,fruits,vehicles,0
part_16_variable_input,3,3.7970319634703196,M,variable_input,3,low_input,Pig,mammals,mammals,1
part_16_variable_input,3,3.7970319634703196,M,variable_input,4,high_input,Beaver,vehicles,fruits,0
part_17_variable_input,3,3.317579908675799,F,variable_input,1,low_input,Frog,clothes,clothes,1
part_17_variable_input,3,3.317579908675799,F,variable_input,2,low_input,Sheep,mammals,mammals,1
part_17_variable_input,3,3.317579908675799,F,variable_input,3,high_input,Beaver,fruits,clothes,0
part_17_variable_input,3,3.317579908675799,F,variable_input,4,high_input,Bunny,vehicles,mammals,0
part_18_variable_input,3,3.3723744292237443,M,variable_input,1,low_input,Tiger,mammals,fruits,0
part_18_variable_input,3,3.3723744292237443,M,variable_input,2,high_input,Frog,fruits,vehicles,0
part_18_variable_input,3,3.3723744292237443,M,variable_input,3,low_input,Bunny,vehicles,mammals,0
part_18_variable_input,3,3.3723744292237443,M,variable_input,4,high_input,Beaver,clothes,mammals,0
part_19_variable_input,4,4.969634703196347,M,variable_input,1,high_input,Pig,mammals,mammals,1
part_19_variable_input,4,4.969634703196347,M,variable_input,2,high_input,Mouse,clothes,vehicles,0
part_19_variable_input,4,4.969634703196347,M,variable_input,3,low_input,Tiger,vehicles,vehicles,1
part_19_variable_input,4,4.969634703196347,M,variable_input,4,low_input,Beaver,fruits,fruits,1
part_20_variable_input,3,3.1970319634703195,M,variable_input,1,low_input,Tiger,clothes,fruits,0
part_20_variable_input,3,3.1970319634703195,M,variable_input,2,high_input,Pig,mammals,vehicles,0
part_20_variable_input,3,3.1970319634703195,M,variable_input,3,high_input,Mouse,fruits,clothes,0
part_20_variable_input,3,3.1970319634703195,M,variable_input,4,low_input,Bunny,vehicles,mammals,0
part_21_variable_input,3,3.443607305936073,M,variable_input,1,high_input,Frog,fruits,fruits,1
part_21_variable_input,3,3.443607305936073,M,variable_input,2,low_input,Mouse,mammals,clothes,0
part_21_variable_input,3,3.443607305936073,M,variable_input,3,high_input,Tiger,clothes,vehicles,0
part_21_variable_input,3,3.443607305936073,M,variable_input,4,low_input,Pig,vehicles,vehicles,1
part_22_variable_input,4,4.460045662100456,F,variable_input,1,high_input,Sheep,clothes,fruits,0
part_22_variable_input,4,4.460045662100456,F,variable_input,2,low_input,Pig,fruits,fruits,1
part_22_variable_input,4,4.460045662100456,F,variable_input,3,high_input,Bunny,vehicles,vehicles,1
part_22_variable_input,4,4.460045662100456,F,variable_input,4,low_input,Frog,mammals,fruits,0
part_23_variable_input,4,4.79703196347032,M,variable_input,1,high_input,Beaver,fruits,fruits,1
part_23_variable_input,4,4.79703196347032,M,variable_input,2,low_input,Mouse,mammals,mammals,1
part_23_variable_input,4,4.79703196347032,M,variable_input,3,low_input,Pig,vehicles,vehicles,1
part_23_variable_input,4,4.79703196347032,M,variable_input,4,high_input,Tiger,clothes,clothes,1
part_24_variable_input,3,3.251826484018265,F,variable_input,1,high_input,Tiger,mammals,fruits,0
part_24_variable_input,3,3.251826484018265,F,variable_input,2,low_input,Pig,vehicles,vehicles,1
part_24_variable_input,3,3.251826484018265,F,variable_input,3,low_input,Frog,fruits,fruits,1
part_24_variable_input,3,3.251826484018265,F,variable_input,4,high_input,Bunny,clothes,mammals,0
part_25_variable_input,3,3.5751141552511414,M,variable_input,1,high_input,Beaver,fruits,clothes,0
part_25_variable_input,3,3.5751141552511414,M,variable_input,2,low_input,Mouse,clothes,mammals,0
part_25_variable_input,3,3.5751141552511414,M,variable_input,3,high_input,Tiger,mammals,mammals,1
part_25_variable_input,3,3.5751141552511414,M,variable_input,4,low_input,Sheep,vehicles,vehicles,1
part_26_variable_input,4,4.128538812785388,M,variable_input,1,low_input,Tiger,fruits,mammals,0
part_26_variable_input,4,4.128538812785388,M,variable_input,2,low_input,Mouse,mammals,vehicles,0
part_26_variable_input,4,4.128538812785388,M,variable_input,3,high_input,Frog,vehicles,vehicles,1
part_26_variable_input,4,4.128538812785388,M,variable_input,4,high_input,Beaver,clothes,mammals,0
part_27_variable_input,3,3.7230593607305935,F,variable_input,1,low_input,Frog,vehicles,clothes,0
part_27_variable_input,3,3.7230593607305935,F,variable_input,2,high_input,Pig,clothes,fruits,0
part_27_variable_input,3,3.7230593607305935,F,variable_input,3,low_input,Beaver,mammals,vehicles,0
part_27_variable_input,3,3.7230593607305935,F,variable_input,4,high_input,Mouse,fruits,clothes,0
part_28_variable_input,4,4.632648401826484,M,variable_input,1,high_input,Mouse,clothes,fruits,0
part_28_variable_input,4,4.632648401826484,M,variable_input,2,low_input,Sheep,vehicles,vehicles,1
part_28_variable_input,4,4.632648401826484,M,variable_input,3,low_input,Bunny,fruits,fruits,1
part_28_variable_input,4,4.632648401826484,M,variable_input,4,high_input,Pig,mammals,vehicles,0
part_29_variable_input,4,4.564155251141552,M,variable_input,1,low_input,Frog,fruits,fruits,1
part_29_variable_input,4,4.564155251141552,M,variable_input,2,high_input,Bunny,mammals,mammals,1
part_29_variable_input,4,4.564155251141552,M,variable_input,3,low_input,Beaver,clothes,clothes,1
part_29_variable_input,4,4.564155251141552,M,variable_input,4,high_input,Pig,vehicles,vehicles,1
part_30_variable_input,4,4.186073059360731,F,variable_input,1,low_input,Tiger,fruits,vehicles,0
part_30_variable_input,4,4.186073059360731,F,variable_input,2,high_input,Beaver,vehicles,mammals,0
part_30_variable_input,4,4.186073059360731,F,variable_input,3,low_input,Mouse,clothes,mammals,0
part_30_variable_input,4,4.186073059360731,F,variable_input,4,high_input,Bunny,mammals,fruits,0
part_31_variable_input,3,3.9093607305936073,M,variable_input,1,low_input,Bunny,mammals,vehicles,0
part_31_variable_input,3,3.9093607305936073,M,variable_input,2,high_input,Mouse,vehicles,clothes,0
part_31_variable_input,3,3.9093607305936073,M,variable_input,3,high_input,Sheep,clothes,clothes,1
part_31_variable_input,3,3.9093607305936073,M,variable_input,4,low_input,Pig,fruits,mammals,0
part_32_variable_input,4,4.279223744292238,F,variable_input,1,high_input,Sheep,vehicles,fruits,0
part_32_variable_input,4,4.279223744292238,F,variable_input,2,low_input,Mouse,clothes,fruits,0
part_32_variable_input,4,4.279223744292238,F,variable_input,3,high_input,Bunny,fruits,fruits,1
part_32_variable_input,4,4.279223744292238,F,variable_input,4,low_input,Frog,mammals,vehicles,0
part_33_variable_input,4,4.816210045662101,M,variable_input,1,low_input,Mouse,clothes,mammals,0
part_33_variable_input,4,4.816210045662101,M,variable_input,2,low_input,Sheep,mammals,vehicles,0
part_33_variable_input,4,4.816210045662101,M,variable_input,3,high_input,Frog,fruits,vehicles,0
