"","subid","subage","experiment","trial","agent","phase","slide","distribution","target1","target2","target3","item_l","item_m","item_r","correctItem","pick","pickPos","pickCat","correct_item","correct_target1","correct_target2","correct_target3","lastInputCat","same_lastInput"
"1","180918_2","4","distribution_kids_simple",1,"Pig","training","1","c(6, 0, 0)","vehicles","mammals","clothes","skirt","dog","boat","boat","boat","item_r","vehicles",1,NA,NA,NA,NA,NA
"2","180918_2","4","distribution_kids_simple",1,"Pig","training","2","c(6, 0, 0)","vehicles","mammals","clothes","horse","motorbike","hat","motorbike","motorbike","item_m","vehicles",1,NA,NA,NA,NA,NA
"3","180918_2","4","distribution_kids_simple",1,"Pig","training","3","c(6, 0, 0)","vehicles","mammals","clothes","jacket","elephant","truck","truck","truck","item_r","vehicles",1,NA,NA,NA,NA,NA
"4","180918_2","4","distribution_kids_simple",1,"Pig","training","4","c(6, 0, 0)","vehicles","mammals","clothes","cat","shirt","car","car","car","item_r","vehicles",1,NA,NA,NA,NA,NA
"5","180918_2","4","distribution_kids_simple",1,"Pig","training","5","c(6, 0, 0)","vehicles","mammals","clothes","bear","airplane","sock","airplane","airplane","item_m","vehicles",1,NA,NA,NA,NA,NA
"6","180918_2","4","distribution_kids_simple",1,"Pig","training","6","c(6, 0, 0)","vehicles","mammals","clothes","dress","monkey","train","train","train","item_r","vehicles",1,NA,NA,NA,NA,NA
"7","180918_2","4","distribution_kids_simple",1,"Pig","test","choice","c(6, 0, 0)","vehicles","mammals","clothes","bus","shoe","cow",NA,"cow","item_r","mammals",NA,0,1,0,"vehicles",0
"8","180918_2","4","distribution_kids_simple",2,"Bunny","training","1","c(6, 0, 0)","mammals","clothes","fruits","orange","cow","shirt","cow","cow","item_m","mammals",1,NA,NA,NA,NA,NA
"9","180918_2","4","distribution_kids_simple",2,"Bunny","training","2","c(6, 0, 0)","mammals","clothes","fruits","melon","cat","skirt","cat","cat","item_m","mammals",1,NA,NA,NA,NA,NA
"10","180918_2","4","distribution_kids_simple",2,"Bunny","training","3","c(6, 0, 0)","mammals","clothes","fruits","strawberry","elephant","dress","elephant","elephant","item_m","mammals",1,NA,NA,NA,NA,NA
