"","subid","subage","experiment","trial","agent","phase","slide","distribution","target1","target2","target3","item_l","item_m","item_r","correctItem","pick","pickPos","pickCat","correct_item","correct_target1","correct_target2","correct_target3","lastInputCat","same_lastInput","sex","age_num"
"1","190109_1_d600","3","distribution_kids_simple",1,"Beaver","training","1","c(6, 0, 0)","clothes","vehicles","mammals","skirt","horse","car","skirt","skirt","item_l","clothes",1,NA,NA,NA,NA,NA,"M",3.21735159817352
"2","190109_1_d600","3","distribution_kids_simple",1,"Beaver","training","2","c(6, 0, 0)","clothes","vehicles","mammals","truck","elephant","shoe","shoe","shoe","item_r","clothes",1,NA,NA,NA,NA,NA,"M",3.21735159817352
"3","190109_1_d600","3","distribution_kids_simple",1,"Beaver","training","3","c(6, 0, 0)","clothes","vehicles","mammals","cat","boat","hat","hat","hat","item_r","clothes",1,NA,NA,NA,NA,NA,"M",3.21735159817352
"4","190109_1_d600","3","distribution_kids_simple",1,"Beaver","training","4","c(6, 0, 0)","clothes","vehicles","mammals","dress","bear","train","dress","dress","item_l","clothes",1,NA,NA,NA,NA,NA,"M",3.21735159817352
"5","190109_1_d600","3","distribution_kids_simple",1,"Beaver","training","5","c(6, 0, 0)","clothes","vehicles","mammals","airplane","monkey","sock","sock","sock","item_r","clothes",1,NA,NA,NA,NA,NA,"M",3.21735159817352
"6","190109_1_d600","3","distribution_kids_simple",1,"Beaver","training","6","c(6, 0, 0)","clothes","vehicles","mammals","jacket","cow","bus","jacket","jacket","item_l","clothes",1,NA,NA,NA,NA,NA,"M",3.21735159817352
"7","190109_1_d600","3","distribution_kids_simple",1,"Beaver","test","choice","c(6, 0, 0)","clothes","vehicles","mammals","motorbike","dog","shirt",NA,"motorbike","item_l","vehicles",NA,0,1,0,"clothes",0,"M",3.21735159817352
"8","190109_1_d600","3","distribution_kids_simple",2,"Bunny","training","1","c(6, 0, 0)","vehicles","mammals","fruits","melon","cat","boat","boat","boat","item_r","vehicles",1,NA,NA,NA,NA,NA,"M",3.21735159817352
"9","190109_1_d600","3","distribution_kids_simple",2,"Bunny","training","2","c(6, 0, 0)","vehicles","mammals","fruits","horse","banana","airplane","airplane","airplane","item_r","vehicles",1,NA,NA,NA,NA,NA,"M",3.21735159817352
"10","190109_1_d600","3","distribution_kids_simple",2,"Bunny","training","3","c(6, 0, 0)","vehicles","mammals","fruits","elephant","pineapple","car","car","car","item_r","vehicles",1,NA,NA,NA,NA,NA,"M",3.21735159817352
"11","190109_1_d600","3","distribution_kids_simple",2,"Bunny","training","4","c(6, 0, 0)","vehicles","mammals","fruits","train","bear","cherry","train","train","item_l","vehicles",1,NA,NA,NA,NA,NA,"M",3.21735159817352
"12","190109_1_d600","3","distribution_kids_simple",2,"Bunny","training","5","c(6, 0, 0)","vehicles","mammals","fruits","monkey","bus","apple","bus","bus","item_m","vehicles",1,NA,NA,NA,NA,NA,"M",3.21735159817352
"13","190109_1_d600","3","distribution_kids_simple",2,"Bunny","training","6","c(6, 0, 0)","vehicles","mammals","fruits","strawberry","truck","cow","truck","truck","item_m","vehicles",1,NA,NA,NA,NA,NA,"M",3.21735159817352
"14","190109_1_d600","3","distribution_kids_simple",2,"Bunny","test","choice","c(6, 0, 0)","vehicles","mammals","fruits","motorbike","orange","dog",NA,"motorbike","item_l","vehicles",NA,1,0,0,"vehicles",1,"M",3.21735159817352
"15","190109_1_d600","3","distribution_kids_simple",3,"Tiger","training","1","c(6, 0, 0)","mammals","fruits","clothes","melon","skirt","elephant","elephant","elephant","item_r","mammals",1,NA,NA,NA,NA,NA,"M",3.21735159817352
"16","190109_1_d600","3","distribution_kids_simple",3,"Tiger","training","2","c(6, 0, 0)","mammals","fruits","clothes","cherry","cat","shirt","cat","cat","item_m","mammals",1,NA,NA,NA,NA,NA,"M",3.21735159817352
